Periodo,Ranking,Barrio,Estrenar,Index,Usado
may. 26,1,Puerto Madero,-,1.285.939,1.285.939
may. 26,2,Nuñez,1.039.890,951.766,939.840
may. 26,3,Palermo,1.056.327,943.809,931.278
may. 26,4,Belgrano,1.108.871,939.679,928.088
may. 26,5,Chacarita,986.021,922.792,912.053
may. 26,6,Coghlan,993.260,903.204,880.048
may. 26,7,Colegiales,1.004.692,900.993,891.213
may. 26,8,Villa Urquiza,1.006.096,900.881,882.104
may. 26,9,Saavedra,925.534,900.483,894.605
may. 26,10,Recoleta,955.490,888.666,884.154
may. 26,11,Villa Crespo,988.749,879.044,862.824
may. 26,12,Villa Ortuzar,-,869.459,850.365
may. 26,13,Agronomía,-,861.264,844.620
may. 26,14,Almagro,952.797,854.213,844.800
may. 26,15,Parque Chas,-,853.308,850.896
may. 26,16,Villa Devoto,1.029.132,851.853,827.858
may. 26,17,Caballito,923.729,844.887,837.560
may. 26,18,Villa Pueyrredon,-,822.123,814.773
abr. 26,1,Puerto Madero,-,1.381.761,1.381.761
abr. 26,2,Palermo,1.006.153,930.005,922.260
abr. 26,3,Nuñez,1.025.906,929.613,921.584
abr. 26,4,Belgrano,1.082.649,926.370,914.107
abr. 26,5,Chacarita,960.048,893.043,884.895
abr. 26,6,Coghlan,-,891.486,864.294
abr. 26,7,Colegiales,994.023,888.288,877.502
abr. 26,8,Saavedra,954.621,886.531,869.777
abr. 26,9,Villa Urquiza,1.003.567,883.856,863.660
abr. 26,10,Recoleta,915.382,875.174,872.562
abr. 26,11,Villa Crespo,1.009.589,867.800,844.822
abr. 26,12,Parque Chas,-,860.761,855.921
abr. 26,13,Agronomía,-,852.666,838.113
abr. 26,14,Villa Ortuzar,-,839.851,827.477
abr. 26,15,Almagro,923.613,836.470,828.254
abr. 26,16,Villa Devoto,991.591,831.093,814.707
abr. 26,17,Caballito,915.262,829.180,821.163
abr. 26,18,Villa Pueyrredon,-,821.669,813.462
mar. 26,1,Puerto Madero,-,1.358.875,1.358.875
mar. 26,2,Nuñez,1.059.367,915.379,904.316
mar. 26,3,Palermo,957.962,911.708,907.698
mar. 26,4,Belgrano,977.426,894.440,885.743
mar. 26,5,Saavedra,972.365,881.873,860.463
mar. 26,6,Colegiales,997.376,880.280,868.303
mar. 26,7,Chacarita,983.382,870.213,854.225
mar. 26,8,Coghlan,-,865.785,849.027
mar. 26,9,Villa Urquiza,978.189,863.444,849.780
mar. 26,10,Recoleta,919.856,860.673,857.071
